,city,country,coord,id,lat,lng,cur_date,cur_temp,cur_humidity,cur_clouds,cur_wind,max_date,max_temp,max_temp_humidity,max_temp_clouds,max_temp_wind,avg_date0,avg_date1,avg_temp,avg_humidity,avg_clouds,avg_wind
183,rawson,ar,"{'lon': -65.10228, 'lat': -43.300159}",3839307,-43.3,-65.1,1505230895,56.95,63,0,18.16,1505250000,64.02,49,0,16.69,1505239200,1505660400,53.11199999999999,69.325,10.2,13.405750000000001
184,lasa,cn,"{'lon': 91.17210999999999, 'lat': 29.652491}",0,29.65,91.17,1505230999,45.25,57,0,2.89,1505293200,65.27,27,0,0.13,1505239200,1505660400,48.657250000000005,62.8,19.4,1.7005
185,biak,id,"{'lon': 135.9800848, 'lat': -1.0381022}",0,-1.04,135.98,1505230999,82.33,100,0,3.11,1505260800,84.06,98,24,1.92,1505239200,1505660400,81.44200000000001,99.875,59.0,3.2329999999999997
186,bac lieu,vn,"{'lon': 105.7557791, 'lat': 9.2573324}",0,9.26,105.76,1505231000,84.67,93,68,8.93,1505282400,89.82,81,24,11.79,1505239200,1505660400,82.85025,97.325,67.8,13.499500000000001
187,vao,nc,"{'lon': 167.483337, 'lat': -22.66667}",2137773,-22.67,167.48,1505231001,68.74,100,8,9.26,1505293200,70.04,100,0,14.56,1505239200,1505660400,71.2065,99.125,36.8,11.19975
188,geraldton,au,"{'lon': 114.599998, 'lat': -28.76667}",2070998,-28.77,114.6,1505228400,50.0,81,0,10.29,1505293200,75.62,51,0,10.76,1505239200,1505660400,67.13550000000001,79.725,37.4,10.473
189,arraial do cabo,br,"{'lon': -42.027779, 'lat': -22.96611}",3471451,-22.97,-42.03,1505228400,84.16,55,0,27.51,1505239200,83.37,69,0,25.88,1505239200,1505660400,73.11275,81.575,9.2,21.929250000000003
190,ovsyanka,ru,"{'lon': 92.551941, 'lat': 55.9575}",1495797,55.96,92.55,1505228400,46.4,100,32,2.62,1505271600,53.37,93,92,1.59,1505239200,1505660400,46.91425,84.775,77.9,7.4697499999999994
192,hastings,nz,"{'lon': 176.849182, 'lat': -39.6381}",2190224,-39.64,176.85,1505231003,51.28,96,0,12.84,1505271600,60.57,73,0,9.98,1505239200,1505660400,58.94625,76.725,23.5,14.44075
193,shimoda,jp,"{'lon': 138.949997, 'lat': 34.666672}",1852357,34.67,138.95,1505231003,80.53,96,88,21.9,1505282400,81.81,92,24,7.76,1505239200,1505660400,74.811,99.2,69.5,17.75625
194,businga,cd,"{'lon': 20.883329, 'lat': 3.33333}",217637,3.33,20.88,1505231004,79.81,87,36,3.74,1505293200,81.29,87,36,3.6,1505239200,1505660400,76.36800000000001,88.9,49.9,2.9795
195,yar-sale,ru,"{'lon': 70.833328, 'lat': 66.833328}",1486321,66.83,70.83,1505231005,40.75,100,64,7.54,1505304000,43.45,97,24,8.08,1505239200,1505660400,40.49625,99.25,49.5,6.999750000000001
